video_id,text,community_label
COs2F0aWcRk,"Election Fraud Updates, New Covid Restrictions",2
mNyArYIGX54,"Kim Guilfoyle sounds off on Fox News, Democrats, voter fraud",2
FuynPMkqUGA,"Money-For-Votes ""Raffles"" Exposed; Arizona Voter Fraud; Dominion Server Missing? | Facts Matter",2
VgMPDnWunqs,"AG Barr releases memo on election fraud, DOJ official resigns",2
RCfU2KizzdM,LIVE: Arizona State Senate Judiciary Holds Hearing on Election Fraud 12/14/20,2
YAKqaWIR8IE,Giuliani: 650K Illegal Ballots | New Voter Fraud Docs | 2020 Election Update (Day 10),2
n6MU3JKc5tE,It appears voter fraud has been ‘quite extensive’ in the US election,2
QehpCEz5xhs,280K Ballots Missing in PA; Michigan Voter Fraud Hearing; Georgia Runoff Election | Facts Matter,2
QJgMoQaHhPY,DOMINION SYSTEMS ELECTION FRAUD? Everything We Know | Good Morning #MugClub,2
u5MQmM-qkBk,Tom Fitton: Anyone Who Says There's No Evidence of Voter Fraud is Ignorant or Lying to You!,2
2lKZ3W5qTjg,Big Tech: Follow the Money on Election Fraud with  Phil Kline,2
UrAtzlBhK4U,HARD FACTS: How Voter Fraud Occurred in Michigan... | Good Morning #MugClub,2
5PxOYdYCFPA,LIVE: Wisconsin Election Fraud Public Hearing 12/11/20,2
m3AFyYZOFh8,WATCH: Diamond and Silk on Election Fraud vs. Voter Fraud,2
WAhTVMikqgU,"RIGGED ELECTION: TX 'Ballot Chaser' Illegally Pressures Voters To Change Votes; ""I could go to jail""",2
q6jKXU8yahA,Californians Protest Against The Election Results,2
FGT6Er7x-Nk,"Richard Grenell: Election Fraud, Nevada Voting Machines & Trump’s 'America First' Diplomatic Success",2
b_-zlprOqwA,US Postal Service worker alleges potential voter fraud according to Project Veritas,2
xyW7wZUlRqo,24/7 VOTER FRAUD TIP LINE VeritasTips@protonmail.com,2
XbN2D9gO4-o,MASSIVE ELECTION FRAUD UPDATE,2
9VWCjpbnuZ0,"""DEAD PEOPLE VOTING"" President Trump Team Says VOTER FRAUD In Nevada",2
lXJm-mLGqXI,"Veritas Exposes MASSIVE Voter Fraud Scheme In Texas, Woman Says $55,000 Gets FIVE THOUSAND VOTES",2
z-44TVFRk6U,LIVE: Nevada Hearing on Election Fraud 12/3/20,2
Qu7Zrp0gkbQ,Joe Biden Brags About Putting Together An Extensive Voter Fraud Organization,2
P5BPHjBVERM,Here's what AG Barr is doing about voter fraud | Rep. Andy Biggs,2
isWgfO8j4Wk,Judge Jeanine Pirro 'Election Fraud' Opening Statement,2
IFdEBcKGAUM,Nigel Farage: No doubt there was 'industrial scale' ballot harvesting in US Election,2
VZ_0ORgyBDM,The Voter Fraud Fraud,0
KzklrEk-8Ug,Big Tech CENSORED Conservatives To Cheat For Democrats And Biden And Now He's REWARDING The Cronies,2
buQCdCSDWQQ,🔴 LIVE: Trump Campaign Legal Team Holds Press Conference in DC 11/19/20,2
nt3DKe2JZ68,BREAKING: Zuckerberg May Be Sentenced To Prison For Election Fraud,2
PEYjEvgSxLY,'They cheated': Trump says election fraud evidence pouring in | Pennsylvania State hearing | NTD,2
ao8pGE1V1sI,"Trump Admits Biden Won the Election, Yet Still Claims Fraud | The Tonight Show",0
2DcfH5h6GhE,Kayleigh Mcenany and campaign leaders full news conference on voter fraud 11/9/20,2
HdvvC5bgaQY,SCAM: Arizona Election Fraud Testimony | Good Morning #MugClub,2
eHLFGtiQ8sY,"LIVE: Trump, Giuliani to Join Public Hearing on Voter Fraud Claims in Gettysburg, Pennsylvania",2
ElOga8UmV10,Charlie Freak LIVE Explaining the US Election Fraud,2
1KZ9KM0OFzQ,Trump team hits Barr over claim on election fraud; Witness saw identical Biden military votes | NTD,2
zwyOlw3EQzM,Republicans’ “smoking gun” election fraud claim debunked ON FOX NEWS,0
nce8phlPLQ4,"20,000 Pennsylvania votes flip from Trump to Biden live on CNN",2
3VbW0yLn2fE,Mathematical Proof of Election Fraud with Dr. Shiva Ayyadurai,2
keANzinHWUA,Video shows poll workers pulling out boxes of ballots | Georgia election hearing | NTD,2
rri6flxaXww,🔴 LIVE: Arizona State Legislature Holds Public Hearing on 2020 Election,2
Il__b2KguWE,Andrew Neil challenges Candace Owens on Trump's ballot fraud claims | SpectatorTV,2
psGpIuNh_dU,Articia Bomer Witnessed Dems Counting Spoiled Ballots for Biden and Tampering with Machines at Cobo,2
vPYGN6jil2E,People Prank Calling Trump's 'Voter Fraud' Hotline | NowThis,0
dWz26SlnHyY,Sidney Powell Releases the Voter Fraud Kraken On Media to Their Faces,2
LJ0xDWhWUxk,Trump Campaign lawyers present video 'evidence' of ballot fraud,2
Sqbl0L8XlXI,BREAKING: President Trump gives UPDATE on voter fraud claims,2
OWlWQpUDLH0,Detroit poll watcher: voting machines were online; DOJ not done investigating election fraud | NTD,2
_sDs46DNx3Q,Trump Supporters Stumped When Asked for Evidence of Voter Fraud,0
Sp8p7xWRv90,President TRUMP Releases Speech Outlining Election Fraud 12/2/20,2
1_P3-Z2MV5I,“Drop and Roll” - How The 2020 Election Was Stolen From Donald Trump,2
hU1VBRA4ihk,Emergency Broadcast on Arizona Election Fraud with Bobby Piton,2
mCUGMWExksc,Shocking Viral Video Alleges Voter Fraud in Georgia,2
i40qfFlrVJg,Gary Miliefsky: How Voting Machines Are Easily Hacked | Crossroads,2
sd-5Xm5PFmg,REVEALED: Sworn Evidence Of Pervasive Voter Fraud | Rudy Giuliani | Ep. 86,2
ev34m5HMkE0,Joe Biden Accidently CONFESSES to Organizing Voter FRAUD ?? 😂😂😂 Donald Trump has to be LAUGHING...,2
zI9bK1djVAY,Dick Morris Has An Election-fraud Update After Speaking With The President. Contact Your Reps Now.,2
RW7BGaJPFKI,Twitter is Running a Massive Censorship Campaign to Defend Election Fraud,2
C8VIB_DxlrE,"LIVE: Sidney Powell, Lin Wood attend 'Stop the Steal' rally in Georgia (Dec. 2) | NTD",2
07jcb2PYnR0,Voter Fraud Witness' Stunning Claims & Watch Businesses Defy Lockdown| DIRECT MESSAGE | Rubin Report,2
O7-aficK3Fs,AMERICANS are RISING UP Against MASSIVE DEMOCRAT VOTER FRAUD!!!,2
CJTjMG0KuV4,Supreme Court's Hidden Snake?; Why Barr Says No Widespread Voter Fraud?| Beyond the Noise,2
746HTjhFifA,WATCH: Chanel Rion on “Dominion-izing the Vote”,2
YVYYEx5KPQc,President Trump Calls into Pennsylvania Hearing on Election Fraud 11/25/20,2
OTfb5Cl0AxU,SMOKING GUN⏰VOTE FRAUD Caught Live On CNN,2
mBj6JrbqvWs,Eric Trump in Philadelphia: Democrats are trying to cheat,2
wcKG6O2nQuc,"MCFILES BREAKING SUNDAY - Patrick Byrne, Former CEO Of Overstock On Election 2020",2
FvfZI4umWqQ,"Gov. Kristi Noem on voter fraud, computer glitches, dead people voting.",2
YdPT2saxs18,LIVE: Nevada judge hears voter fraud evidence (Dec. 3) | NTD,2
aUmivobnWXM,Dr.SHIVA LIVE: How To Expose Election Fraud In Your Own Town/City for Dummies.,2
jBJYEKBGUmM,JOE BIDEN & DEMOCRATS CAUGHT COMMITTING VOTER FRAUD! CHEATING TO STEAL 2020 ELECTION FROM TRUMP!,2
s5W7fnSdp2A,NO SURRENDER! Bill Barr Launches Voter Fraud Investigation | Good Morning #MugClub,2
_NsK4Xzr8Ig,Election Fraud Exposed- REEEeeeee Stream,2
SOFuSEfnL-4,Election UPDATE: Poll Watchers Expose Evidence of Potential Voter Fraud | Pat Gray Unleashed,2
x-7E-71Av0k,Republicans tender new CCTV footage to Georgia Senate Judiciary Subcommittee,2
9tHeiYgErnw,Dominion and How Big Tech Helped Steal The Election,2
K8PpY8kAprM,Michigan Voter Fraud with Dr. Shiva Ayyadurai Part 2,2
TeRgus75s90,DHS Refutes Trump's Claim of Election Fraud. 16 Federal Prosecutor Tell AG Barr NO Election Fraud,0
ZxBaMbQMeEs,GOP official shuts down voter fraud 'nonsense',0
HA2DWMHgLnc,We watched hackers break into voting machines,2
DviireZwG50,Joe Biden bragging about using his power to hold up $1 billion in U.S. loans unless Ukraine,2
MA8a2g6tTp0,Joe Biden brags about having “the most extensive and inclusive VOTER FRAUD organization” in history.,2
4HCIdVZEHSc,PA Lt. Governor To Trump Lawyer Giuliani: Where's The Voter Fraud? | The 11th Hour | MSNBC,0
9MFf3vZY-1Q,Why Xi Jinping Congrats Biden Suddenly?; Trump's 4 Tactics Against Voter Fraud |Beyond The Noise,2
_wEXL6Z3KLk,Poll worker sentenced to prison for voter fraud,2
K-54DOem0d0,"What's going on in Detroit, Michigan ?? | Election 2020",2
ZpAoF44jBAQ,WHO IS TRULY BEHIND THE SCYTL VOTER FRAUD SCANDAL AGAINST TRUMP? – Neal David Sutz #Byoblu24,2
VDf1j4IQz28,Bobby Piton testifies at AZ Election Fraud Hearing,2
_plkiN8Jdq8,Michigan voter fraud witness: I don’t know why anyone would write an affidavit just to write one,2
v1Lxsm0d8x4,Gordon Chang: China Election Interference; Paid Propaganda in US Media; China Building DNA Database,2
EaJlx-z25_0,Michigan POLL Workers EXPOSE Voter Fraud for Joe Biden 😡😡😡,2
CMMbZH-H4ks,ELECTION STEAL - General Exposes REAL Vote Fraud,2
mxLlcITD8m0,Michigan Voter Fraud Witness Barry Doherty describes seeing networked voting machines,2
QZ7D8Myky9A,Mich Voter Fraud Witness Kristina Karamo Saw Ballots Being Given to Biden in Detroit,2
99mu5VdRiU4,'Global woke fascism' won't even let 'debate over voter-fraud' to take place,2
3oQ83rhD8UA,ELECTION FRAUD: The Key Players Exposed,0
Z8UZn7PmyXc,Voter Fraud Cold Open - SNL,0
efvR1WdAmUs,Are Election Fraud Allegations Falling Apart? | Sidney Powell Lawsuits Rejected,2
NB6dXR2IDgw,Bernard Kerik is at Trump HQ investigating voter fraud,2
R0xaA4dYsbQ,"A truck driver with USPS says he was suspicious of his cargo load of 288,000 COMPLETED ballots",2
Ztu5Y5obWPk,Dr.SHIVA LIVE: MIT PhD Analysis of Michigan Votes Reveals Unfortunate Truth of U.S. Voting Systems.,2
5jSR5vS8l_U,Michigan Election FRAUD: Witnesses Come Forward! | Louder With Crowder,2
qTUZmqz6y2M,トランプ支持者の集会は優雅です！#StopTheSteal集会 カリフォルニア州サクラメント11/28,3
oGWjDfyTujs,institutional voter fraud at the philadelphia convention center election 2020,2
ql-7x-WlyuQ,LEIGH DUNDAS JUST GOT OFF A CONFERENCE CALL WITH TRUMP'S LAWYER AND BILL STEPIEN.  1800 895-4152,2
WZepqpeeSz0,Dominion Voting Machines and Voter Fraud Allegations,2
Y3htcLB76VI,Newsmax CEO Admits His Network Lied And Has No Evidence Of Voter Fraud,0
O4v3Stm6aBY,U.S. Election Fraud and CIA Servers | WHERE IN THE WORLD,2
HnaSstYs8gg,Hispanic Trump Supporter Alleges Voter Fraud in Arizona With Sharpies?,2
npP-VNZ0YYk,Christopher Krebs Debunks The President's Lies About Election Fraud,0
Pimf5fPVxy0,Weekend Update: Supreme Court Dismisses Election Fraud Cases - SNL,0
LYCie0i6BD8,"🔴 Watch LIVE: Stop The Steal Protest in Atlanta, GA- LIVE COVERAGE",2
p4UH4rplHNQ,"HEY YOUTUBE, BAN THIS: Can You Even THINK About Voter Fraud? | Louder With Crowder",2
8eo4whTUlZQ,President Trump's legal team presents evidence of alleged voter fraud in Ga.,2
ANvReNBWNWA,Sidney Powell 11/6/20 w/ Tom Fitton On Lou Dobbs The HAMMER #StopTheSteal,2
AU-42MxS14A,LIVE: 'Election Fraud Truth Summit' featuring Trump campaign lawyer and experts (Dec. 8),2
sFPXSUnfDTg,Texas Congressman Louie Gohmert Confirms US Military Seizes Server In Frankfurt Germany With Results,2
pg1J9k4tyAI,TRUMP TAKES QUESTIONS: President Trump Answers Reporter Questions for First Time Since Election Day,2
GI_lA57wPS0,No Widespread Fraud: YouTube’s War on Wrongthink | US Election Censorship?,2
iINl15MPhuY,Sidney Powell Releases the Kraken on Sunday Morning Futures - She Has Proof of Fraud,2
n8MafrFtutI,Witness DESTROYS State Senator at Michigan Hearing on Election Fraud,2
cPMY3n7oGTY,Fox News is Dead | Cuts Off Kayleigh McEnany Exposing Election Fraud,2
_HIFGJVvB2I,Bryson Gray - PATRIOTS VS EVERYBODY (AUDIO) #STOPTHESTEAL,2
uO9eEdek40A,YouTube announces unprecedented censorship policy; Trump to intervene in Texas SCOTUS lawsuit | NTD,2
wmoxE1sJc1c,I Bought a Voting Machine Online … Then Hacked It,2
QE9nUcHzKn0,"Democrats Accidentally ADMIT Election Fraud in Pennsylvania, ANOTHER USPS Whistleblower Comes Out",2
R2OHdRUM9Gc,"Lin Wood Outlines Case for Rampant Voter Fraud, GA Vote Corruption; GA Election will Be Nullified",2
xg2eXdDrH20,"RAMPANT ELECTION FRAUD - Rudy Giuliani, Greg Kelly, Newsmax",2
lqOf-g6CvTg,"Rep. Debbie Lesko on the Georgia Runoffs, Election Fraud & Democrats’ Push for ‘Election Reform’",2
1-z75g7MF_4,TRUMP TEAM'S FULL VIDEO of VOTER FRAUD in FULTON GA. Just FOUND the NIGHT of 12/02/2020! VIDEO PROOF,2
A3sqPxsbM1k,"Devastating Evidence of Election Fraud, 3382",2
eqA_DprY0RA,There was 'clearly' industrial-scale voter fraud at US election,2
IxuQCcKPwAA,"Media Keeps LYING About Voter Fraud, Group Finds REAL Evidence Of Illegal Ballots And Is In Court",2
BS51Uh1oUlQ,🔴 LIVE: Georgia Senate Government Oversight Committee Meeting on Election Fraud,2
V6MzM2BPGXE,Sen. Douglas Mastriano Leads The Charge To Expose Voter Fraud In Pennsylvania & Shares An Update,2
IUL-nXiC7tA,"Election Crisis Update! Dead People Voting in GA DOJ AWOL on Voter Fraud, Durham FAIL",2
Xp-EGJ9FdEM,Bill Barr: No evidence of fraud that would affect election outcome,0
w3hcC9oDH14,Mich Voter Fraud Witness Patrick Colbeck Describes Fraud in Detroit,2
UgeqGmvQXKs,BREAKING: Technology Expert Can Determine If Ballots are Legitimate or Fake in Seconds,2
4h0pfQZcjjk,Election Fraud Exposed  - Part 2,2
RfgybUHVi-Q,Republican EXPOSES Lindsey Graham's Election Fraud Scheme,0
Pa3sdry99n4,【現場の様子】アリゾナ州議会 公聴会の中継を見る市民 #StopTheSteal #NTD #NTDTV,3
CNElkfBhzOI,President Trump Calls into Arizona Legislature Hearing on Election Fraud 11/30/20,2
SsCygghh6cs,The Transparently Obvious Tactics of the Deep State Re: Election Fraud and Biden,2
C4Kr9iPwHN8,AG Barr authorizes voter fraud investigation; Trump within 1% of Biden in Arizona | NTD,2
hKtnYZ8X8UE,"Michigan Voter Fraud Witness Hima Kolanagireddy discusses fake, illegal ballots, no Trump votes seen",2
enYxjnN2JW8,Tracking Down Voter Fraud—Give Him 15: Daily Prayer with Dutch Day 7,2
55BStfUd_qU,Federal appeals court rejects Trump campaign election fraud lawsuit,0
1Nn3nsPFrus,"""This is a fraud"" | Trump sounds off amid ongoing Election results",2
ANeq2VKPOak,YOUNG PHARAOH INTERVIEWS JAMES OKEEFE- 2020 VOTER FRAUD & PROJECT VERITAS,2
WKkheU5cy2E,"Video evidence of voter fraud in Georgia, suitcases of ballots appear after poll watchers dismissed",2
ZWWUwEZ99Tw,Evidence of Voter Fraud in Texas with Neil McCabe,2
kHHsHZ5fnfk,"""There's No Evidence of Voter Fraud"" Stream",2
r1y7Jj2nvj4,"Tucker Carlson HUMILIATES himself on air over Trump's ""election fraud"" claims | No Lie podcast",0
jKs05FN88T4,"Fox News ""Voter Fraud"" Interview Goes Horribly Wrong",0
zvwaT1DGOFY,SEAN HANNITY on ELECTION FRAUD - Media Bias - 2020 Election,2
mK-0CIGx9t4,Georgia State Senate FULL Closing Statements of Voter Fraud Hearing!,2
P4VdcIVbX_0,Post Office Voter Fraud Story Takes BIZARRE Turn,0
nLOWhxN7B9Q,Viewer Calls Me OUT For Voter Fraud! | My 2 Cents | ATS | Huckabee,2
V3geBt5nPL0,Graham Discusses Investigations into Election Fraud and Upcoming Georgia Runoff Elections,2
3fg8VtBKr5E,Turning The Tide: Trump's Stepping Stone To Victory Lies in Georgia; Governor Kemp Ask For Audit,2
j6knLREq764,The Video Is Evidence #StopTheSteal,2
OUKFlUOCZ7E,Project Veritas Uncovered Democrat Voter Fraud in 2016,2
hZRuiXEc_c0,"Trump camp: 234 pgs of election fraud affidavits; Trump wins NC, AK; Grassley asks DOJ: probe Hunter",2
-3ERmqT6tDM,"FOREGIN & DOMESTIC ELECTION INTERFERENCE BOMBSHELL !! Sidney Powell & Dominion Voting, with Newsmax",2
TUOSOGWNqk0,Gen. Flynn speaks at pro-Trump rallies: ‘We cannot accept what we are going through as right’ | NTD,2
rXppUrEStx8,!~*ALERT*~!OFFICIAL GOOGLE DATA NOW PROVING PRESIDENTIAL ELECTION RESULTS ARE TOTALLY *IMPOSSIBLE(!),2
IFc5jU0_RDQ,Voter FRAUD for Joe Biden EXPOSED in Detroit Michigan? 😡😡 Trump Supporters NOT ALLOWED to Work Polls,2
zG2RkKBHX0M,RAW: Full Hima Kolanagireddy testimony before Michigan House alleging election fraud | Diya TV,2
TDUzQbx-fT4,Alleged examples of voting fraud pouring in despite Democrats insistence of no such thing,2
kU5tQDwjOF8,"'Biggest fraud' in US history—up to 300,000 fake people voted in Arizona election: expert | NTD",2
mCiX8Ydll-g,【現場の様子】 「トランプのための行進」バスツアースタート #MarchForTrump #StopTheSteal フロリダ州11/29,3
R8xb6qJKJqU,Dr.SHIVA LIVE: MIT PhD Continued Analysis of Michigan Votes Reveals More Election Fraud.,2
hwbL9IXTAC0,Tom Fitton: Will DOJ Investigate Voter Fraud? Judicial Watch STEPS UP,2
ouvX4vIcDDQ,Bill Barr Squarely contradicts Trump - Says There's NO Voter Fraud Undermining the Election Results,0
fT-udMDpCtU,Lawyers for President Donald Trump's campaign hold press conference,2
5N5P2J0zAKU,#DOMINION DEMOCRATS MACHINE  #StopTheSteal Parler : @AnthonyAM,2
RX9HrzWmTig,Proof of voter fraud caught live on cnn,2
mgPJyEfG0C0,"Ballot Chaser Reveals MASSIVE Vote Fraud Effort To Elect Joe Biden; ""$55,000 for 5,000 votes""",2
xAbNL9F_R4Q,Cenk Uygur Versus Cenk Uygur Re: Election Interference!,2
moddNvyr3To,Georgia Voter Fraud starring Ruby Freeman - CAUGHT ON TAPE,2
yE9iMZmXxWE,Gohmert: Incredible Amounts of Fraud Affected National Election,2
ae0-mz3-oDE,Trump ERUPTS After DOJ Election Fraud Debunking,0
jIX-B3P8kB4,Former Prosecutor Sidney Powell Levels Huge Voter Fraud Allegations Against Dominion Voter Systems,2
LxPt7Muazz4,ANOTHER Voter Fraud Story Retracted,0
CwtTPOPv860,BRANDON TATUM : VOTER FRAUD LAWSUITS COMING !!,2
Q1hWBIzeMpc,全米50の州で抗議デモが発生「票を盗むのをやめろ」 #StopTheSteal,3
BWJ9GHAAyFQ,Trump's Lawyer Admits To Judge That They Have No Evidence Of Voter Fraud,0
-7kjiuRsuTo,Live Q&A: Powell Says Trump Could Trigger 2018 Executive Order | Crossroads,1
6ZiqaxbyZwE,Trump Star Voter Fraud Witness: All Chinese People Look Alike,0
0y0Uj7VdwWs,Analyzing William Barr's Election Fraud Comments and the Legacy Media Spin Cycle,2
vfBD0JpeKEw,"Watch again: Giuliani attends election hearing in Gettysburg, Pennsylvania",2
RBezjNE-U3A,Mail-in-Vote ‘Disasters’; Will Trump Be Able to Prove Voter Fraud? | ATL Extra,2
sXl_CE5iYs8,All Election Fraud Will Be Found Out—Give Him 15: Daily Prayer with Dutch Day 6,2
-0XNPFeKi28,BOMBSHELL VOTER FRAUD REVEALED!!! | Lin Wood Exposes Voter Fraud and Shares How Kyle Rittenhouse...,2
jj8XhXufmEo,NEW Evidence Could Lead to Trump Winning California!,2
p25v2q_b8bQ,EXCLUSIVE: Former Michigan state senator exposes Election Day fraud,1
im2xxRJ3aKA,Democrats Urge Potential Voter Fraud Telling People Move To Virginia To SWING Senate,2
VvlRMG4EHLI,Rep. Gohmert’s STUNNING Election Tampering Update (Scytl Raid?!),2
T8LiGZhK-bg,Watch again: Trump's legal team holds press conference about the election,2
pEesug2iGZI,US Election: Trump supporters protest against 'voter fraud',2
Or_rpVpSz_M,"4chan Catches Alleged Voter Fraud on LIVESTREAM, Cameraman PANS AWAY",2
ZkYjlA7Oxmc,"MASSIVE BOMBSHELL PROOF (764) ELECTION FRAUD, TRUMP CARD!",2
OEt7ZWo_V3w,Furious Chris Christie finally LOSES IT on Trump over bogus election fraud claims,0
2-Th59vnntU,Giuliani's Star Voter Fraud Witness Is A Total Loon,0
UPDx8oJu3HU,Is this Video Evidence of Ballot Fraud?,2
MMo9mXqnMLA,"Trump's Voter Fraud ""Proof"" Lists Towns in Wrong State",0
oDYNXt-EBVI,"HUGE Crowd of Trump Supporters Show Up In Lansing, MI for Voter Fraud Hearing With Rudy Giuliani",2
Y7Z2ASUByI0,US election was a ‘manual on the art of voter fraud’,2
eZXkAv7yKgw,LIVE: Michigan Senate Committee holds hearing on election issues (Dec.1) | NTD,2
oNSXJtniUVw,THE SALCEDO SHOW EXPOSES BOMBSHELL ALLEGATIONS OF VOTER FRAUD,2
KZnvO_0QdIE,James O'Keefe Confronts Raquel Rodriguez With Undercover Videos Showing Her ILLEGAL Voter Fraud,2
RVkYZt-MtV8,Roger Stone Talks About Compelling Evidence Of Voter Fraud & How Flipping Two States Is Checkmate,2
ZJQ8WNtx0MY,LIBERALS Know There's Election Fraud! Here's Proof... | Louder With Crowder,2
RhbgrqpYbgo,Dominion connected to Internet during election: expert; 35K votes added to each Democrat: witness,2
KpjIIV1pjM8,Jason Miller Outlines Ballot Harvesting In GA & “Systemic Issue” In Voting System,2
-ZRUBVULFN8,"""Voter Fraud Is Taking Place"". Chair of the Federal Election Commission Trey Trainor.",2
IREHZrawXa8,Sidney Powell Comes Forward with Explosive Claims of Voter Fraud and Vote Counting,2
RkLuXvIxFew,Is Voter Fraud Real?,2
d9Yt11c3J6o,Democrat Vernon Jones Exposes His Own Party in Georgia for Election Fraud,2
atkp6fnwk9w,Matt Braynard: Evidence of Vote Fraud Enough to Easily Flip States | Crossroads,2
dE1sY96ywfQ,EVIDENCE OF WIDESPREAD ELECTION FRAUD! DEMOCRATS EXPOSED! JOE BIDEN CHEATED! TONS OF PROOF!,0
WoVM4VJwCD8,Sebastian Gorka LIVE: Proof of election fraud from the field.,2
DoF3WS42w3M,Benford's Law and 2020 Presidential Voter Fraud,1
e35f4pUIYOg,🔴 LIVE: Trump Legal Team Presents CLEAR Evidence of Fraud Before Georgia Senate Committee 12/3/20,2
fZT1b2Mqx40,Georgia Republicans lambast Trump for election fraud claims,0
46CAKyyObls,"Dominion Voting Machine Flaws -- 2020 Election Coffee County, Georgia Video 1",1
CD0vLDfimq0,Election Fraud Exposed By Military White Hat,2
iAg_W39m5ws,Detroit Bias Voter Fraud Witness,2
0RY_isInBMs,Election Fraud 2020 - Joe Biden - Trump - AC/DC Parody,2
7H10wZ4SszM,"🔴 LIVE: Trump Campaign Holds Press Conference in Philadelphia, PA",2
NOS0sLlR-sU,Detroit Election Fraud Nov 2020,2
GtDbe1xxNhc,"Trump To Attend PA Hearing On Election Irregularities And Fraud, The ""Dark Winter"" Is Coming",2
akqeL9AtJYI,"""TRUMP WILL WIN"" Rudy Giuliani Says LEGAL CHALLENGES WILL PREVAIL",2
DUn7LRxT7bk,David Wilcock and Dannion Brinkley: Hidden History of Elections,2
mnxhiJPjKQk,Jim Willie: How Will Trump Present Evidence Of Election Fraud?,2
sShoarf5QII,Trump's Lawyers Asked Giuliani For Evidence Of Voter Fraud And Never Got It,0
urJvnY-8SHE,VOTER FRAUD IN ARIZONA | Election Night 2020 | STOP THE STEAL,2
ijjwS6h-PyU,"Dominion Voting Machine Flaws -- 2020 Election Coffee County, Georgia Video 2",1
-wBB8RyOlPg,Mich Voter Fraud Witness Ann Rudisill Describes Detroit Election Fraud,2
cPzUxp5er8Q,Why Trump Will TRIUMPH in PA and WIN the ELECTION!!!,2
XUriLwK2Tyc,Biden brags about having “the most extensive and inclusive VOTER FRAUD organization” in history.,2
rl2i7a7q0H8,"VOTER FRAUD, THE ELECTION AND GOD - R. Loren Sandford with the Daily Word",2
JBYjzY2iJsk,Trump Will Appeal to Supreme Court | 2020 Election Fraud | Front Page,2
gbpkNiDbucA,TRUMP LEGAL: Giuliani and Powell lay out latest voter ‘cheating’ and irregularities,2
xFT0HeN0wvI,Trump And Crew Cash In With Election Fraud 'Scare Stories' | Rachel Maddow | MSNBC,0
xPD8vO-PgGQ,Bomshell Michigan Election Hearing,2
